"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","BINCODE","NAME","DESCRIPTION","TYPE","CATEGORY"
"1","AT1G01010.1",15.1134846918648,0.0487322794946349,0.998459135698493,0.0488074852062355,0.961072716953845,0.996248627744421,"14.5.7.1","RNA biosynthesis.DNA-binding transcriptional regulation.beta-hairpin exposed by alpha/beta-scaffold structure.NAC transcription factor","mercator4v7.0: NAC transcription factor & swissprot: NAC domain-containing protein 1 OS=Arabidopsis thaliana  & original description: cdna chromosome:TAIR10:1:3631:5899:1 gene:AT1G01010 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:NAC001 description:NAC domain containing protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:839580]",TRUE,"RNA biosynthesis"
"2","AT1G01020.5",9.14702995315013,2.64046221695345,2.15491309150036,1.22532190619113,0.220453957821027,0.759248526096143,"35.1","not assigned.annotated","mercator4v7.0: not classified & swissprot: Protein ARV 1 OS=Arabidopsis thaliana  & original description: cdna chromosome:TAIR10:1:6788:9130:-1 gene:AT1G01020 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:ARV1 description:ARV1 family protein [Source:NCBI gene (formerly Entrezgene);Acc:839569]",TRUE,"not assigned"
"3","AT1G01020.6",59.7216999547921,-0.0151887236549728,0.290874247186217,-0.0522174919295935,0.958355395402748,0.995968356563455,"35.1","not assigned.annotated","mercator4v7.0: not classified & swissprot: Protein ARV 1 OS=Arabidopsis thaliana  & original description: cdna chromosome:TAIR10:1:6788:8737:-1 gene:AT1G01020 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:ARV1 description:ARV1 family protein [Source:NCBI gene (formerly Entrezgene);Acc:839569]",TRUE,"not assigned"
"4","AT1G01030.2",5.14192612758399,-1.08111045579523,1.1822315371837,-0.914465924645049,0.36047207506107,0.858466265923769,"14.5.9.3","RNA biosynthesis.DNA-binding transcriptional regulation.beta-barrel DNA-binding domain.RAV-NGATHA transcription factor","mercator4v7.0: RAV-NGATHA transcription factor & swissprot: B3 domain-containing transcription factor NGA3 OS=Arabidopsis thaliana  & original description: cdna chromosome:TAIR10:1:11649:13714:-1 gene:AT1G01030 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:NGA3 description:AP2/B3-like transcriptional factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:839321]",TRUE,"RNA biosynthesis"
"5","AT1G01040.1",77.2522759667656,-0.17665944775266,0.310832064266059,-0.568343707299922,0.569801606277641,0.927523294096166,"16.5.1.1.1.1.1","RNA homeostasis.mRNA silencing.miRNA pathway.miRNA biogenesis.DCL1-HYL1 miRNA biogenesis complex.DCL1 endoribonuclease activity.endoribonuclease component *(DCL1)","mercator4v7.0: endoribonuclease component *(DCL1) of DCL1-HYL1 miRNA biogenesis complex & swissprot: Endoribonuclease Dicer homolog 1 OS=Arabidopsis thaliana  & original description: cdna chromosome:TAIR10:1:23121:31227:1 gene:AT1G01040 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:DCL1 description:dicer-like 1 [Source:NCBI gene (formerly Entrezgene);Acc:839574]",TRUE,"RNA homeostasis"
"6","AT1G01050.1",63.0748555974711,0.843880921591178,0.353202412126641,2.38922751549218,0.0168838430290361,0.241398454342432,"27.7.1","Multi-process regulation.pyrophosphate homeostasis.cytosolic pyrophosphatase","mercator4v7.0: cytosolic pyrophosphatase & swissprot: Soluble inorganic pyrophosphatase 1 OS=Arabidopsis thaliana  & original description: cdna chromosome:TAIR10:1:31170:33171:-1 gene:AT1G01050 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:PPa1 description:pyrophosphorylase 1 [Source:NCBI gene (formerly Entrezgene);Acc:839579]",TRUE,"Multi-process regulation"
"7","AT1G01060.4",92.96411970618,0.4168313918646,0.671855302383697,0.6204184001908,0.534982361407367,0.918041047043752,"14.5.3.2.2","RNA biosynthesis.DNA-binding transcriptional regulation.helix-turn-helix DNA-binding domain.tryptophan-cluster structure.REVEILLE-type transcription factor","mercator4v7.0: REVEILLE-type transcription factor & swissprot: Protein LHY OS=Arabidopsis thaliana  & original description: cdna chromosome:TAIR10:1:33666:37780:-1 gene:AT1G01060 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:LHY description:Homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839341]",TRUE,"RNA biosynthesis"
"8","AT1G01060.4",92.96411970618,0.4168313918646,0.671855302383697,0.6204184001908,0.534982361407367,0.918041047043752,"27.1.1.1","Multi-process regulation.circadian clock system.core oscillator protein activity.core oscillator protein *(LHY/CCA1)","mercator4v7.0: circadian clock core oscillator protein *(LHY/CCA1) & swissprot: Protein LHY OS=Arabidopsis thaliana  & original description: cdna chromosome:TAIR10:1:33666:37780:-1 gene:AT1G01060 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:LHY description:Homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839341]",TRUE,"Multi-process regulation"
"9","AT1G01070.1",8.20084556194738,0.9071835861356,0.896737997659738,1.01164842852999,0.311706181752798,0.82285231267022,"24.2.1.5","Solute transport.carrier-mediated transport.DMT-type transporter superfamily.solute transporter *(UmamiT1/2/++)","mercator4v7.0: solute transporter *(UmamiT1/2/++) & swissprot: WAT1-related protein At1g01070 OS=Arabidopsis thaliana  & original description: cdna chromosome:TAIR10:1:38444:41017:-1 gene:AT1G01070 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:UMAMIT28 description:nodulin MtN21 /EamA-like transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:839550]",TRUE,"Solute transport"
"10","AT1G01070.2",8.01679153688375,0.0163487711849196,1.32154448538208,0.0123709578949156,0.990129655454521,0.998369551825009,"24.2.1.5","Solute transport.carrier-mediated transport.DMT-type transporter superfamily.solute transporter *(UmamiT1/2/++)","mercator4v7.0: solute transporter *(UmamiT1/2/++) & swissprot: WAT1-related protein At1g01070 OS=Arabidopsis thaliana  & original description: cdna chromosome:TAIR10:1:38752:40945:-1 gene:AT1G01070 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:UMAMIT28 description:nodulin MtN21 /EamA-like transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:839550]",TRUE,"Solute transport"
